episode,reward,score,task,agent_type,steps
1,11.49,0.999,task1_easy,rule_based,40
1,11.49,0.9768,task2_medium,rule_based,40
1,-4.1,0.3817,task3_hard,rule_based,100
1,14.29,0.9602,task4_team,rule_based,50
1,-4.1,0.3592,task5_deadline,rule_based,100
1,11.49,0.999,task1_easy,react_enhanced,40
1,11.49,0.9721,task2_medium,react_enhanced,40
1,9.6,0.8055,task3_hard,react_enhanced,100
1,14.29,0.9602,task4_team,react_enhanced,50
1,9.6,0.8213,task5_deadline,react_enhanced,100
1,-2.8,0.001,task1_easy,ppo_trained,50
1,-7.2,0.001,task2_medium,ppo_trained,80
1,-9.2,0.001,task3_hard,ppo_trained,100
1,-7.3,0.2233,task4_team,ppo_trained,100
1,-7.3,0.1075,task5_deadline,ppo_trained,100
1,-4.0,0.001,task1_easy,ppo_gnn,50
1,-6.1,0.001,task2_medium,ppo_gnn,80
1,-7.6,0.001,task3_hard,ppo_gnn,100
1,14.29,0.9602,task4_team,ppo_gnn,50
1,-4.1,0.3592,task5_deadline,ppo_gnn,100
1,0.45,0.001,task1_easy,hrl,50
1,-2.87,0.001,task2_medium,hrl,80
1,-4.1,0.3817,task3_hard,hrl,100
1,14.29,0.9602,task4_team,hrl,50
1,-4.1,0.3592,task5_deadline,hrl,100
1,11.49,0.999,task1_easy,reflexion,40
1,11.49,0.9768,task2_medium,reflexion,40
1,-4.1,0.3817,task3_hard,reflexion,100
1,14.29,0.9602,task4_team,reflexion,50
1,-4.1,0.3592,task5_deadline,reflexion,100
